# Oscilloscope Data

# Seconds	currentAverage	currentRawValue	currentValue	voltageValue	voltageAverage	voltageRawValue
1893.298	1.17549e-38	0	-0.0138944	19.182	1.17549e-38	0
1893.398	1.17549e-38	0	-0.0138944	19.182	1.17549e-38	0
1893.498	1.17549e-38	0	-0.0138944	19.182	1.17549e-38	0
1893.598	1.17549e-38	0	-0.0138944	19.182	1.17549e-38	0
1893.698	1.17549e-38	0	-0.0138944	19.182	1.17549e-38	0
1893.798	1.17549e-38	0	-0.0138944	19.182	1.17549e-38	0
1893.898	1.17549e-38	0	-0.0138944	19.182	1.17549e-38	0
1893.998	1.17549e-38	0	-0.0138944	19.182	1.17549e-38	0
1894.098	1.17549e-38	0	-0.0138944	19.182	1.17549e-38	0
1894.198	1.17549e-38	0	-0.0138944	19.182	1.17549e-38	0
1894.298	1.17549e-38	0	-0.0138944	19.182	1.17549e-38	0
1894.398	1.17549e-38	0	-0.0138944	19.182	1.17549e-38	0
1894.498	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1894.598	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1894.698	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1894.798	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1894.898	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1894.998	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1895.098	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1895.198	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1895.298	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1895.301	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1895.400	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1895.500	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1895.600	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1895.700	1.17549e-38	0	0.00812828	19.2436	1.17549e-38	0
1895.800	1.17549e-38	0	-0.00711817	18.8915	1.17549e-38	0
1895.900	1.17549e-38	0	-0.00711817	18.8915	1.17549e-38	0
1896.000	1.17549e-38	0	-0.00711817	18.8915	1.17549e-38	0
1896.100	1.17549e-38	0	-0.00711817	18.8915	1.17549e-38	0
1896.200	1.17549e-38	0	-0.00711817	18.8915	1.17549e-38	0
1896.300	1.17549e-38	0	-0.00711817	18.8915	1.17549e-38	0
1896.400	1.17549e-38	0	-0.00711817	18.8915	1.17549e-38	0
1896.500	1.17549e-38	0	-0.00711817	18.8915	1.17549e-38	0
1896.600	1.17549e-38	0	-0.00711817	18.8915	1.17549e-38	0
1896.700	1.17549e-38	0	-0.00711817	18.8915	1.17549e-38	0
1896.800	1.17549e-38	0	-0.00711817	18.8915	1.17549e-38	0
1896.900	1.17549e-38	0	-0.00711817	18.8915	1.17549e-38	0
1897.000	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1897.100	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1897.200	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1897.299	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1897.399	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1897.499	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1897.599	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1897.699	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1897.799	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1897.899	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1897.999	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1898.099	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1898.199	1.17549e-38	0	0.00304613	19.182	1.17549e-38	0
1898.299	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1898.399	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1898.499	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1898.599	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1898.699	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1898.799	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1898.899	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1898.999	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1899.099	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1899.199	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1899.299	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1899.302	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1899.401	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1899.501	1.17549e-38	0	0.00812828	19.0411	1.17549e-38	0
1899.601	1.17549e-38	0	0.0115164	19.1908	1.17549e-38	0
1899.701	1.17549e-38	0	0.0115164	19.1908	1.17549e-38	0
1899.801	1.17549e-38	0	0.0115164	19.1908	1.17549e-38	0
1899.901	1.17549e-38	0	0.0115164	19.1908	1.17549e-38	0
1900.001	1.17549e-38	0	0.0115164	19.1908	1.17549e-38	0
1900.101	1.17549e-38	0	0.0115164	19.1908	1.17549e-38	0
1900.201	1.17549e-38	0	0.0115164	19.1908	1.17549e-38	0
1900.301	1.17549e-38	0	0.0115164	19.1908	1.17549e-38	0
1900.401	1.17549e-38	0	0.0115164	19.1908	1.17549e-38	0
1900.501	1.17549e-38	0	0.0115164	19.1908	1.17549e-38	0
1900.601	1.17549e-38	0	0.0115164	19.1908	1.17549e-38	0
1900.701	1.17549e-38	0	0.0115164	19.1908	1.17549e-38	0
1900.801	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1900.901	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1901.001	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1901.101	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1901.201	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1901.301	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1901.304	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1901.403	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1901.503	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1901.603	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1901.703	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1901.803	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1901.903	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1902.003	1.17549e-38	0	0.00304613	19.226	1.17549e-38	0
1902.103	1.17549e-38	0	0.00812828	19.182	1.17549e-38	0
1902.203	1.17549e-38	0	0.00812828	19.182	1.17549e-38	0
1902.303	1.17549e-38	0	0.00812828	19.182	1.17549e-38	0
1902.403	1.17549e-38	0	0.00812828	19.182	1.17549e-38	0
1902.503	1.17549e-38	0	0.00812828	19.182	1.17549e-38	0
1902.603	1.17549e-38	0	0.00812828	19.182	1.17549e-38	0
1902.703	1.17549e-38	0	0.00812828	19.182	1.17549e-38	0
1902.803	1.17549e-38	0	0.00812828	19.182	1.17549e-38	0
1902.903	1.17549e-38	0	0.00812828	19.182	1.17549e-38	0
1903.003	1.17549e-38	0	0.00812828	19.182	1.17549e-38	0
1903.103	1.17549e-38	0	0.00812828	19.182	1.17549e-38	0
